Nombre,Icfes,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte
COL DIST RAFAEL BERNAL JIMENEZ,278.9506,0.0,1.6999999999999997,10.0,5.0,10.0,7.950000000000001,10.0
INST EDUC DIST JUAN LUIS  LONDOÑO,277.5294,0.0,9.95,10.0,5.0,7.0,10.0,4.25
CENT EDUC DIST REP FEDERAL DE ALEMANIA,281.5357,0.0,6.969999999999999,6.0,5.0,10.0,10.0,7.5
CENT EDUC DIST ALQUERIA LA FRAGUA,281.3846,0.0,9.05,10.0,5.0,10.0,10.0,7.5
CENT EDUC DIST NUEVA ESPERANZA,238.1379,6.0,9.790000000000001,10.0,5.0,6.0,9.45,3.0
CENT EDUC DIST SANTA LIBRADA,255.6567,0.0,7.15,6.0,6.0,6.0,10.0,5.0
COLEGIO FERNANDO GONZALEZ OCHOA,253.7766,0.0,7.85,10.0,5.0,6.0,10.0,4.25
CENT EDUC DIST MANUELA BELTRAN,254.05209999999997,0.0,6.99,10.0,5.0,8.0,10.0,6.25
ORLANDO FALS BORDA (ANTES BARRANQUILLITA),254.0093,0.0,5.65,4.0,6.0,6.25,10.0,4.5
CENT EDUC DIST SAN BERNARDINO,255.57840000000002,8.0,7.5,10.0,5.0,6.25,10.0,4.5
CENT EDUC DIST NUEVA CONSTITUCION,253.35250000000002,0.0,7.2,10.0,5.0,10.0,10.0,5.0
CENT EDUC DIST ALTAMIRA SUR ORIENTAL,242.96120000000002,0.0,9.73,10.0,5.0,7.75,10.0,4.5
COL DIST TOMAS RUEDA VARGAS,253.57229999999998,0.0,7.35,10.0,5.0,10.0,10.0,7.5
COL DIST EDUC BAS Y MEDIA LOS ALPES,249.26349999999996,0.0,7.540000000000001,10.0,5.0,9.0,10.0,5.0
CEDID CIUDAD BOLIVAR,248.39049999999997,0.0,5.1,10.0,6.0,8.0,10.0,5.5
COLEGIO JOSÉ FRANCISCO SOCARRAS (IED) - SEDE PRINCIPAL,256.0107,0.0,8.69,6.0,6.0,6.5,10.0,4.5
COL CUIDADELA EDUCATIVA BOSA (INS EDUC DIST),265.89559999999994,10.0,9.690000000000001,10.0,5.0,6.25,9.600000000000001,3.25
CENT EDUC DIST MARRUECOS Y MOLINOS,263.8401,0.0,9.5,10.0,10.0,8.5,10.0,6.5
CENT EDUC DIST NUEVA COLOMBIA,263.8174,0.0,2.79,10.0,5.0,10.0,10.0,5.5
CENT EDUC DIST ISMAEL PERDOMO,257.71909999999997,0.0,9.15,10.0,10.0,8.0,10.0,5.0
CENT EDUC DIST CLASS,265.6013,0.0,6.45,10.0,7.0,7.0,10.0,4.25
CENT EDUC DIST VILLA ELISA,263.7483,0.0,5.509999999999999,10.0,5.0,10.0,10.0,7.25
COL DIST EDUC BAS Y MEDIA ARBORIZADORA ALTA,259.4587,0.0,6.7,10.0,5.0,8.25,10.0,6.0
CENT EDUC DIST FRANCISCO DE PAULA SANTANDER,262.4904,0.0,5.8,2.0,6.0,6.5,10.0,4.5
CENT EDUC DIST GRAN YOMASA,257.7826,0.0,9.9,10.0,5.0,6.0,10.0,5.25
CENT EDUC DIST JUAN REY,257.5641,8.0,10.0,10.0,5.0,6.5,9.55,3.25
CENT EDUC DIST DON BOSCO IV,276.4348,0.0,7.85,10.0,5.0,6.0,9.8,3.75
COL ANTONIO GARCIA (INS EDUC DIST),270.0673,0.0,3.65,10.0,5.0,8.25,10.0,6.0
CENT EDUC DIST COMFENALCO NUEVA ROMA,274.74359999999996,2.0,9.8,10.0,5.0,7.5,10.0,5.75
VENTIUN ANGELES (INST EDUC DIST),271.7853,8.0,7.340000000000001,10.0,5.0,10.0,7.55,5.75
COL DIST EDUC BAS Y MEDIA ALBERTO LLERAS CAMARGO,272.96459999999996,0.0,1.3499999999999999,8.0,6.0,10.0,9.450000000000001,6.0
INST EDUC DIST LEONARDO POSADA PEDRAZA - SEDE PRINCIPAL,268.4322,2.0,9.4,10.0,5.0,5.75,10.0,4.25
INST EDUC DIST FE Y ALEGRIA SAN IGNACIO,277.188,4.0,6.9,10.0,5.0,6.75,10.0,3.5
COL DIST SIMON BOLIVAR,281.70500000000004,0.0,8.1,8.0,5.0,10.0,10.0,7.25
CENT EDUC DIST CALASANZ (BUENAVISTA),293.5875,0.0,3.44,10.0,5.0,7.5,10.0,4.25
CENT EDUC DIST EL RODEO,280.3026,0.0,7.65,10.0,5.0,9.0,10.0,5.0
COL DIST ANTONIO JOSE URIBE,244.6364,0.0,0.0,0.0,7.0,10.0,10.0,9.0
CENT EDUC DIST ANTONIO VILLAVICENCIO,229.8841,10.0,9.5,10.0,5.0,10.0,8.05,3.75
COL DE EDUC BAS Y MEDIA ESTANISLAO ZULETA,257.3604,0.0,9.75,10.0,5.0,5.75,8.850000000000001,3.75
CENT EDUC DIST RAFAEL URIBE URIBE,257.1008,0.0,9.2,10.0,10.0,8.25,10.0,4.75
CENT EDUC DIST RAMON DE ZUBIRIA,247.04120000000003,0.0,0.0,6.0,7.0,10.0,10.0,5.75
CENT EDUC DIST REINO DE HOLANDA,247.3886,0.0,6.75,10.0,5.0,10.0,10.0,8.5
COL VIRGINIA GUTIERREZ DE PINEDA (INS EDUC DIST),260.29049999999995,0.0,1.2299999999999995,10.0,6.0,10.0,10.0,6.5
INST EDUC DIST EL BOSQUE,261.73810000000003,0.0,7.95,10.0,5.0,6.0,10.0,4.5
CENT EDUC DIST ISLA DEL SOL,271.6226,0.0,9.540000000000001,10.0,5.0,8.75,10.0,5.75
CENT EDUC DIST LA GIRALDA,276.2143,0.0,7.7,10.0,6.0,10.0,10.0,6.0
GERARDO MOLINA RAMIREZ (INST EDUC DIST),268.57280000000003,0.0,2.27,10.0,5.0,8.25,7.25,4.5
INST TEC IND PILOTO,270.3299,0.0,2.5999999999999996,10.0,6.0,10.0,10.0,8.25
COL DIST DE USME,281.17539999999997,10.0,9.84,10.0,5.0,5.25,4.9,2.75
CENT EDUC DIST MIRAVALLE,283.6735,0.0,7.3,6.0,7.0,6.0,10.0,5.0
CENT EDUC DIST SOTAVENTO,283.09090000000003,0.0,5.7,10.0,5.0,8.25,10.0,6.0
CENT EDUC DIST SAN MARTIN DE PORRES,231.05,0.0,9.15,10.0,5.0,10.0,10.0,10.0
COL DIST TOBERIN,265.36609999999996,4.0,9.030000000000001,10.0,7.0,10.0,4.6,7.75
CENT EDUC DIST PAULO VI,265.65,0.0,8.14,8.0,7.5,9.75,10.0,6.25
COL DIST EDUC BAS Y MEDIA PROSPERO PINZON,268.5075,0.0,3.48,8.0,5.0,10.0,10.0,6.5
CENT EDUC DIST FRANCISCO DE MIRANDA,269.5929,2.0,9.34,10.0,5.0,9.5,10.0,6.25
CENT EDUC DIST PABLO NERUDA,267.7228,10.0,5.65,4.0,6.0,9.0,7.65,4.5
SALUDCOOP NORTE (INST EDUC DIST),269.81579999999997,8.0,6.8,10.0,5.0,10.0,4.3500000000000005,9.5
LICEO NAL MAGDALENA ORTEGA DE NARIÑO,280.42269999999996,0.0,6.03,10.0,5.0,10.0,8.9,10.0
COL CARLO FEDERICI (INST EDUC DIST),290.3684,10.0,9.85,10.0,6.0,6.75,6.300000000000001,3.25
CENT EDUC DIST DE USAQUEN (ANTIGUA COLONIA ESCOLAR DE VACACI,282.3152,10.0,8.95,10.0,5.0,10.0,4.3,6.75
CENT EDUC DIST PRADO VERANIEGO II,278.2679,0.0,8.7,8.0,5.0,10.0,6.05,7.0
CENT EDUC DIST ANTONIO JOSE DE SUCRE,284.5172,2.0,6.8,10.0,5.0,10.0,8.05,10.0
CENT EDUC DIST MANUEL ELKIN PATARROYO,281.3529,10.0,10.0,10.0,5.0,10.0,9.200000000000001,6.0
